SAMPLE_ID,Study_ID,Latitude,Longitude,Species,RiverSystem,COMPOUND,UNIT,CONC_FOUND (ng/g ww),Sampling Date,% Lipids,pcb_uggwet,pcb_ugglw_sample,pcb_ugglw_1,effect-mort ww,effect-mort lipid-sample specific,effect-mort lipid - 1%,Composite_Count
21RP03-TW_W01,WDFW_LEGACY 2021,47.2197944,-122.3516853,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.7,5/5/2021,1.9,0.0097,0.510526316,0.97,-27.47234467,-18.98279925,-12.82234467,10
21RP02-TW_W01,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.5,5/1/2021,1.7,0.0085,0.5,0.85,-28.73984174,-19.1827629,-14.08984174,10
21WML01-TW_H01,WDFW_LEGACY 2021,47.26873,-122.42172,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,4/14/2021,2.5,0.012,0.48,1.2,-25.43009446,-19.57456865,-10.78009446,5
21RP01-TW_W02,WDFW_LEGACY 2021,47.13020675,-122.0736163,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7,4/28/2021,1.5,0.007,0.466666667,0.7,-30.60333332,-19.84495014,-15.95333332,4
21RW01-TW_W03,WDFW_LEGACY 2021,47.1568,-121.653061,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,5/17/2021,2.1,0.0095,0.452380952,0.95,-27.67230832,-20.14335474,-13.02230832,6
21RP03-TW_H03,WDFW_LEGACY 2021,47.219736,-122.3515433,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,6/24/2021,2.5,0.011,0.44,1.1,-26.26522166,-20.40969585,-11.61522166,4
21CBC01-TW_H01,WDFW_LEGACY 2021,47.275017,-122.415855,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/12/2021,3,0.013,0.433333333,1.3,-24.66185191,-20.55623164,-10.01185191,2
21RP03-TW_H02,WDFW_LEGACY 2021,47.219444,-122.350833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,6/24/2021,2.2,0.0095,0.431818182,0.95,-27.67230832,-20.58984957,-13.02230832,3
21RP02-TW_W02,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,5/1/2021,2.9,0.012,0.413793103,1.2,-25.43009446,-20.99909022,-10.78009446,8
21CBE01-TW_H01,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,5/20/2021,5.1,0.021,0.411764706,2.1,-20.05895359,-21.04625448,-5.408953586,5
21CBC02-TW_H01,WDFW_LEGACY 2021,47.26226,-122.43579,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,6/4/2021,2.7,0.011,0.407407407,1.1,-26.26522166,-21.14836085,-11.61522166,6
21RP03-TW_W02,WDFW_LEGACY 2021,47.219444,-122.350833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.1,5/5/2021,2.3,0.0091,0.395652174,0.91,-28.08518523,-21.42937041,-13.43518523,9
21CBE01-TW_W02,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/20/2021,3.4,0.013,0.382352941,1.3,-24.66185191,-21.75753598,-10.01185191,2
21RP02-TW_H03,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.2,6/7/2021,2.8,0.0082,0.292857143,0.82,-29.08471386,-24.31690635,-14.43471386,16
21RP02-TW_H04,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7,6/7/2021,2.4,0.007,0.291666667,0.7,-30.60333332,-24.35600176,-15.95333332,15
21RP02-TW_H02,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.7,6/7/2021,3,0.0087,0.29,0.87,-28.51662452,-24.41100425,-13.86662452,16
21WSP01-TW_H01,WDFW_LEGACY 2021,47.264296,-122.430432,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.9,5/20/2021,3.1,0.0089,0.287096774,0.89,-28.29848085,-24.50757429,-13.64848085,3
21RP02-TW_H01,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6,6/7/2021,2.1,0.006,0.285714286,0.6,-32.08285737,-24.55390378,-17.43285737,13
21RP01-TW_W01,WDFW_LEGACY 2021,47.131221,-122.0736152,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),3.1,4/28/2021,1.1,0.0031,0.281818182,0.31,-38.42090657,-24.68568491,-23.77090657,5
21CBW01-TW_H02,WDFW_LEGACY 2021,47.275833,-122.463056,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/20/2021,4.7,0.013,0.276595745,1.3,-24.66185191,-24.86521457,-10.01185191,3
